palabra,frecuencia
durante,252007
papá,251063
quería,249429
dije,249282
unos,249272
pasado,249247
forma,247915
gusta,246115
hizo,245925
caso,245252
contra,240888
tarde,240846
necesito,240791
oye,239741
alguna,238669
hemos,236016
cuenta,235082
visto,234626
conmigo,233733
mientras,233013
otros,231669
realmente,231221
hora,230432
problema,230258
crees,229737
año,229700
razón,229371
primera,228538
cierto,227632
saber,227254
dicho,225969
hacerlo,225440
mierda,224926
pues,223512
idea,222982
mío,220959
e,220351
aunque,220211
familia,215124
hacia,215122
amor,214016
esos,212421
pueden,212072
importa,211642
todavía,208416
personas,207355
policía,207069
casi,206579
contigo,206465
cualquier,206307
demasiado,205046
ven,203236
serio,202946
algún,199354
ve,198486
nueva,197917
eh,196607
lado,196477
manera,195856
cabeza,195520
hombres,194191
historia,193715
dentro,190519
sería,188040
salir,188038
debería,186785
van,186422
ciudad,185759
ustedes,184390
muchas,183573
poder,182146
algunos,181159
amigos,181053
chica,179295
mayor,177873
sabía,175312
chicos,174510
hermano,174414
esas,174267
primer,174056
país,173107
vaya,172489
agua,172356
misma,171495
veo,171364
haces,170177
camino,169922
persona,169741
iba,169636
realidad,168677
fin,168510
importante,167574
primero,167530
digo,166604
horas,166262
semana,165909
puerta,165036
somos,164983
pensé,164934
bajo,164484
muerte,164398
problemas,163433
punto,163199
ah,163190
pasó,162454
quizá,162117
buenas,161279
supuesto,161065
cuatro,160375
da,159390
mano,159322
niños,159305
volver,157907
además,157835
señora,157598
cariño,157329
ayuda,157073
ojos,156143
cinco,155815
pasar,155741
general,155361
pronto,155069
debo,154548
minutos,153924
sino,153281
gobierno,153247
manos,152657
presidente,152440
muerto,152117
muchos,151773
chico,150641
guerra,150278
hice,150151
incluso,149589
medio,149551
cuál,149002
hablando,147959
adiós,147325
siquiera,147214
genial,146594
fueron,146401
ello,145509
rápido,145063
equipo,144798
dejar,144278
significa,144035
jefe,143984
millones,143875
suerte,143636
otras,143352
ayer,143323
cuerpo,142880
llegar,142773
mujeres,141630
posible,141531
según,141086
nuestros,140807
quizás,140555
tierra,140549
único,140434
hija,140247
ninguna,140049
final,139803
cara,139709
niño,139669
supongo,138657
juntos,138569
algunas,138298
entiendo,138296
número,138168
ningún,138155
deja,138097
ves,137917
tío,137775
cerca,137185
corazón,137016
miedo,136673
buenos,135945
eran,135785
haya,135257
hubiera,135227
feliz,134886
unas,134608
espero,134308
igual,134222
viene,134025
meses,133712
sigue,133344
dar,133102
podía,132930
última,132602
difícil,132094
os,131791
venir,131556
vi,131170
viejo,130961
bastante,129919
tomar,129675
gustaría,129585
cuánto,129281
encontrar,129194
adelante,129092
justo,127679
sentido,127245
esposa,126847
segundo,126392
grande,125939
allá,125797
clase,125560
cual,124597
ante,124416
juego,123963
tenido,123709
pensar,122575
pueda,122548
hey,122545
doctor,122517
grupo,122028
cuidado,121613
suficiente,121520
sangre,120642
pequeño,120593
dijiste,120417
trata,119650
haré,119359
último,119291
frente,118840
grandes,118548
venga,118329
llama,117751
noches,117749
toma,117736
necesita,117516
debes,117004
arriba,116339
vuelta,116050
coche,115283
tampoco,114609
trabajar,114099
cuándo,113793
fuerte,113054
seguridad,112861
mas,111983
entrar,111610
vivir,111446
escucha,111246
déjame,111119
pueblo,110890
hijos,110015
joven,109943
cuanto,109716
hago,109515
escuela,109447
tras,109409
cree,109380
cambio,108920
luz,108503
oportunidad,108478
fui,107891
sistema,107860
embargo,107758
teléfono,107525
dices,107034
seis,106876
alto,106802
habla,106620
fiesta,106187
loco,105913
atrás,105663
debemos,105402
pregunta,105358
hacen,105315
seguir,104984
quieren,104978
dio,104868
paso,104786
falta,104348
fácil,104304
ido,104001
padres,103930
vino,103897
hiciste,103778
estaban,103610
situación,103446
abajo,103283
única,102884
siendo,102733
modo,102519
información,102513
dólares,102258
esté,102017
hermana,101162
tuvo,100620
dado,100541
música,100209
paz,100159
culpa,100086
queda,99750
real,99733
auto,99696
palabra,99679
deberías,99624
sola,99591
derecho,99103
lista,99093
partido,98783
orden,98419
exactamente,98103
nacional,97832
listo,97811
comida,97638
necesitamos,97624
habría,97608
libro,97501
capitán,97498
diciendo,97488
comer,97387
sabemos,96930
lejos,96430
pasando,96380
morir,96325
haga,96236
puesto,96203
calle,96005
dicen,95693
estabas,95588
par,95417
vete,95198
política,95063
malo,94881
habitación,94593
probablemente,94355
estuvo,94320
éste,94130
plan,93919
especial,93698
palabras,93575
pequeña,93405
ok,92530
creer,92453
relación,92441
chicas,92341
ley,91988
bebé,91942
pensando,91862
conozco,91817
simplemente,91798
acerca,91649
diez,91543
esperar,91507
través,91507
tuve,91480
centro,91320
largo,91148
buscando,90780
cama,90769
nuestras,90475
recuerdo,89726
rey,89710
españa,89245
voz,88556
dame,88513
demás,88434
sra.,88400
saben,88320
mil,88198
lleva,87354
tenga,86947
necesitas,86587
conseguir,86568
amo,86373
propia,86122
dime,85896
propio,85823
sitio,85812
resto,85118
oficina,85097
libre,85061
segura,85025
peor,84837
estará,84648
poner,84462
fuerza,84398
marido,84318
arma,83893
puta,83640
oído,83399
llevar,83244
podrías,83204
ejemplo,83157
mucha,82823
control,82698
esperando,82683
atención,82391
don,82202
fuego,82127
llamado,81962
madrid,81548
viaje,81501
dormir,81384
cuarto,81311
dr.,81308
siguiente,81191
matar,81188
habían,81143
hagas,81124
ambos,81094
habrá,80772
perdido,80772
prueba,80706
futuro,80546
campo,80389
deben,80305
hospital,80139
di,79843
ellas,79527
vivo,79235
piensa,79176
semanas,78903
edad,78894
ayudar,78887
venido,78846
murió,78814
película,78746
san,78454
maldita,78300
preocupes,77900
estados,77690
niña,77659
vista,77413
junto,77315
correcto,77124
llamar,76992
basta,76950
john,76877
aire,76848
encima,76632
cielo,76625
iré,76578
buscar,76470
programa,76383
personal,76349
café,76267
detrás,75904
público,75548
minuto,75529
director,75524
llegó,75408
demonios,75100
pienso,74926
verte,74715
acaba,74616
boca,74341
diga,74285
anoche,74140
vuelve,73971
dirección,73937
llamada,73881
ud.,73708
servicio,73676
ésta,73379
idiota,73201
jugar,73018
mala,73012
social,72800
médico,72630
mes,72606
obra,72583
asunto,72466
perder,72268
dejó,72262
armas,71938
duro,71929
querido,71689
preguntas,71395
queremos,71159
perdón,71136
deberíamos,70848
pie,70846
mayoría,70801
unidos,70669
segunda,70555
empezar,70454
mía,70219
digas,70106
hacemos,70083
perro,69856
señorita,69817
ropa,69754
hacía,69106
papel,68964
sueño,68900
oficial,68865
extraño,68852
negro,68761
jamás,68529
hará,68452
afuera,68391
sol,68390
media,68290
diablos,68187
necesario,67901
noticias,67796
increíble,67735
josé,67679
principio,67631
respuesta,67604
llegado,67586
universidad,67567
maldito,67565
juan,67487
vemos,67350
haría,67342
compañía,67020
cambiar,67004
dolor,66968
mesa,66967
mensaje,66962
nivel,66938
pudo,66937
s,66762
decisión,66696
línea,66679
diferente,66656
aquel,66537
libertad,66531
alrededor,66406
vio,66090
mitad,66022
i,65961
espacio,65958
respecto,65919
pena,65890
trabajando,65886
agente,65861
the,65847
sexo,65844
sociedad,65709
salud,65646
investigación,65466
suena,65457
proceso,65410
aqui,65334
encontrado,65323
tratando,65310
usar,65091
trato,64971
querida,64873
siete,64652
blanco,64565
supone,64481
raro,64457
consejo,64414
diré,64158
zona,64152
jack,64138
últimos,64105
error,64030
mejores,63952
hubo,63942
perfecto,63930
tema,63844
reunión,63826
piensas,63798
york,63796
sucede,63457
podríamos,63447
carta,63370
secreto,63056
siente,62736
gusto,62509
decía,62440
irme,62112
ganar,62044
base,62000
odio,61995
decirle,61976
ocurre,61874
sean,61871
maría,61851
suelo,61812
hotel,61623
silencio,61571
daño,61519
amiga,61474
pobre,61416
partir,61245
asesino,61144
entiendes,61096
encuentra,61074
quieras,60870
fondo,60767
pensaba,60669
existe,60653
srta.,60636
darle,60442
dan,60427
baño,60266
carrera,60210
conoces,60204
acción,60170
duda,59966
vuelto,59500
partes,59392
interior,59177
tendrá,59087
imposible,59076
pagar,59043
mente,58989
divertido,58846
sala,58646
acabo,58517
negocio,58419
apenas,58409
ocho,58342
próxima,58325
ejército,58190
mar,58171
estaré,58121
cita,57980
pelo,57970
abogado,57897
diferentes,57850
conoce,57779
recuerda,57585
asesinato,57535
recuerdas,57496
vive,57478
ay,57381
energía,57238
banco,57221
arte,57176
empresa,57159
foto,57106
normal,57082
seas,56992
casos,56953
novia,56941
totalmente,56910
países,56865
izquierda,56861
conocer,56739
proyecto,56723
estaría,56635
cámara,56568
causa,56562
estábamos,56560
cállate,56478
capaz,56466
pesar,56418
iglesia,56401
parecía,56375
pruebas,56363
derecha,56311
siglo,56291
mantener,56275
ministro,56243
uh,56143
sentir,55919
salvo,55865
baja,55840
quienes,55826
dejado,55336
hicieron,55234
caja,55185
profesor,55145
estuve,55083
cargo,54985
opinión,54936
club,54719
verlo,54712
decirte,54567
encontré,54470
desarrollo,54450
haz,54450
aquella,54411
accidente,54225
quiera,54110
carlos,54089
terminado,53975
mercado,53915
sam,53909
próximo,53862
total,53811
sal,53801
varios,53621
pase,53551
cualquiera,53493
david,53464
oro,53311
encuentro,53276
valor,53140
cena,53130
deseo,53126
funciona,53066
comprar,53019
posición,53003
estudio,52883
movimiento,52793
finalmente,52747
mire,52727
nuevos,52724
salió,52694
hambre,52662
completamente,52573
encanta,52538
formas,52506
norte,52492
aun,52225
adónde,52217
dile,52136
lamento,51955
experiencia,51912
debido,51896
loca,51853
tuyo,51744
m,51720
llega,51719
vosotros,51673
alta,51423
fuiste,51383
tipos,51295
contacto,51255
alma,51181
tranquilo,51168
dijeron,51125
color,50895
justicia,50882
placer,50874
disculpe,50856
mató,50823
radio,50587
busca,50569
muertos,50556
pone,50497
imagen,50448
especie,50342
pudiera,50340
ex,50298
llamo,50269
puso,50269
entra,50268
montón,50264
cárcel,50253
tienda,50212
corte,50170
carne,50158
éxito,50141
conocido,50139
muchacho,50034
viste,50008
peligro,49913
principal,49850
delante,49847
interesante,49824
sale,49753
pude,49743
común,49701
hablas,49687
creí,49603
barco,49422
sientes,49414
pies,49391
tenías,49330
bonito,49168
traje,49132
sur,49109
ataque,49022
entendido,49010
quisiera,49009
michael,48991
podrían,48930
maestro,48862
jóvenes,48791
posibilidad,48715
escuchar,48714
terminar,48616
diferencia,48606
escena,48540
humano,48517
caballeros,48483
departamento,48446
datos,48355
defensa,48319
evitar,48318
negocios,48194
simple,48192
eras,47998
objetivo,47978
cabo,47857
verdadero,47746
abuela,47717
prensa,47716
novio,47629
canción,47622
llamó,47557
haremos,47539
rato,47511
gustan,47460
juicio,47442
estúpido,47397
tonto,47396
puntos,47395
relaciones,47299
cine,47268
aquellos,47213
tenían,47201
asi,47021
río,47018
joe,46817
uso,46786
condiciones,46687
muchachos,46644
especialmente,46591
destino,46568
frank,46559
serie,46534
juez,46505
george,46503
quédate,46480
nuevas,46471
fuerzas,46468
entender,46448
fotos,46386
contrario,46378
avión,46337
hermosa,46280
matrimonio,46199
ninguno,46196
serán,46117
televisión,46067
cocina,46022
edificio,45999
tiempos,45969
mismos,45938
dulce,45937
frío,45919
vieja,45898
sorpresa,45846
boda,45837
libros,45749
marcha,45689
prisa,45685
intento,45681
piso,45664
charlie,45577
interés,45508
precio,45490
luis,45446
acabó,45438
c,45392
salida,45378
acá,45353
terrible,45165
primeros,45047
tom,45033
humanos,44973
época,44962
llevo,44932
luna,44909
cuestión,44896
resulta,44850
volvió,44816
presencia,44766
entrada,44764
cumpleaños,44704
informe,44643
central,44599
efecto,44514
encontramos,44474
europa,44467
esperaba,44452
culo,44420
muerta,44410
mirando,44310
miembros,44308
llevó,44299
tren,44180
decirme,44179
abre,44162
necesidad,44151
muestra,44072
caballo,44032
diría,44026
naturaleza,43924
triste,43823
presente,43774
intentando,43756
jesús,43709
tía,43702
teniente,43673
reina,43630
honor,43605
resultados,43598
cantidad,43578
español,43471
apoyo,43419
regalo,43403
tengas,43398
méxico,43302
misión,43280
carajo,43273
horrible,43238
lucha,43146
paciente,43003
crimen,42966
tendrás,42905
estés,42900
broma,42893
podido,42890
anda,42855
santa,42849
espere,42737
vestido,42730
vienen,42724
militar,42720
navidad,42715
cerebro,42651
drogas,42649
sacar,42574
ciento,42572
tendría,42473
metros,42430
permiso,42406
amable,42364
menor,42338
resultado,42227
das,42212
varias,42193
detective,42163
víctima,42110
mike,42068
debía,42007
basura,41920
señal,41910
abuelo,41903
ocurrió,41886
segundos,41874
temo,41839
esposo,41766
mirar,41758
estilo,41724
nave,41667
internacional,41642
vámonos,41592
respeto,41559
maldición,41520
siéntate,41511
pensado,41426
medios,41311
io,41291
locura,41264
juro,41257
prisión,41250
encontró,41202
viendo,41186
servicios,41053
parís,41040
anterior,41035
momentos,40956
escribir,40871
prometo,40861
pidió,40855
antonio,40828
vidas,40808
miles,40806
bar,40762
querías,40682
trabaja,40659
ventana,40577
permite,40553
político,40533
memoria,40515
animales,40462
enfermedad,40400
quedó,40360
pocos,40336
ten,40319
américa,40275
infierno,40258
piel,40254
doble,40140
caliente,40079
comunidad,40054
cambiado,40052
saberlo,40017
flores,39993
tendremos,39981
gracioso,39973
contar,39907
larga,39863
vayas,39835
guardia,39820
creía,39775
visita,39773
regresar,39772
debajo,39744
podrá,39718
natural,39716
enseguida,39710
teatro,39692
tratar,39683
oír,39621
mundial,39616
riesgo,39607
leer,39583
inteligente,39552
parecer,39535
nueve,39530
espalda,39528
estuviera,39511
operación,39496
coronel,39459
compañero,39443
tuya,39439
doy,39424
verano,39383
maravilloso,39329
derechos,39328
ideas,39298
esperanza,39296
adentro,39265
sucedió,39256
vine,39244
hechos,39207
baile,39176
francia,39150
creen,39149
blanca,39141
golpe,39121
educación,39106
empezó,39067
tendré,39060
hermanos,39056
pedir,39028
santo,38944
dale,38932
llamas,38899
beber,38861
viva,38802
peter,38760
agradable,38693
hicimos,38617
julio,38610
domingo,38593
disculpa,38585
isla,38568
azul,38458
pregunto,38421
excelente,38405
completo,38401
paul,38358
victoria,38283
obras,38219
hablado,38193
medida,38171
hazlo,38133
alegro,38121
deje,38101
regreso,38057
trae,38050
nota,38031
lleno,38004
importantes,37941
temprano,37889
superior,37885
hogar,37860
miren,37822
planeta,37814
veras,37715
actual,37694
producción,37688
solamente,37686
cultura,37640
unidad,37608
motivo,37561
capital,37556
hermoso,37537
estación,37439
banda,37376
comisión,37368
dando,37363
modos,37296
cerveza,37224
salvar,37216
bolsa,37209
espíritu,37197
confianza,37142
necesitan,37108
hablo,37063
presión,37027
tomó,37008
cliente,36869
abrir,36866
cuántos,36855
sueños,36818
irse,36800
rojo,36792
enfermo,36777
londres,36761
calor,36747
crisis,36735
estrella,36729
ojo,36599
escrito,36581
pareja,36558
diario,36553
lindo,36540
órdenes,36518
peso,36473
importancia,36416
red,36400
hablamos,36384
acto,36368
ése,36324
d,36242
cartas,36241
max,36232
acaso,36211
grupos,36200
peligroso,36177
vuelva,36122
asuntos,36029
nombres,35947
verás,35880
listos,35879
solía,35807
brazos,35800
teniendo,35790
pista,35784
área,35755
sargento,35732
linda,35701
empieza,35677
actividad,35675
james,35666
organización,35649
calma,35639
pequeños,35607
pesetas,35601
excepto,35573
b,35539
suyo,35532
té,35517
ganas,35469
pelea,35468
cenar,35428
capacidad,35420
popular,35368
enorme,35350
teníamos,35272
propósito,35260
bonita,35252
puedas,35242
lee,35241
cuello,35216
brazo,35160
sabías,35156
mirada,35146
daré,35142
obtener,35136
porqué,35120
llave,35092
población,35078
copa,35003
ayudarte,34974
recordar,34810
quise,34787
modelo,34746
rico,34740
reglas,34728
aprender,34717
responsable,34685
calidad,34640
fe,34633
local,34631
quedar,34569
española,34513
leche,34506
empresas,34453
inglés,34424
quedan,34410
piernas,34402
joder,34391
profesional,34365
sector,34334
comandante,34328
costa,34307
pública,34235
noticia,34183
harás,34178
parar,34143
ben,34134
pan,34096
alguno,34029
distancia,33999
humana,33968
lugares,33912
recursos,33878
estudios,33863
definitivamente,33854
fiscal,33845
corre,33811
podamos,33781
soldados,33756
veremos,33747
necesitaba,33740
veré,33728
zapatos,33689
equivocado,33677
veamos,33636
acciones,33571
familiar,33520
perra,33483
comenzó,33482
planes,33477
dieron,33462
razones,33428
parecen,33408
casas,33396
opción,33352
carácter,33329
inmediatamente,33292
caer,33217
máquina,33168
cuentas,33122
figura,33083
líder,33036
intentar,33032
elección,33027
vienes,33026
batalla,33009
aspecto,32989
voluntad,32931
trasero,32896
colegio,32894
henry,32894
llaman,32892
tocar,32852
vuelo,32844
ocupado,32813
apuesto,32799
verme,32788
tratamiento,32764
depende,32763
decirlo,32726
llena,32712
diablo,32684
dejé,32658
fútbol,32650
viernes,32619
ganado,32604
civil,32600
jugando,32570
enemigo,32313
francisco,32287
verde,32210
luces,32196
grave,32190
irnos,32174
campaña,32160
correr,32147
culpable,32100
entiende,32085
fecha,32079
mediante,32079
sociales,32046
tribunal,32020
pedido,32004
bomba,31994
volveré,31970
cuales,31966
darme,31909
artículo,31899
absolutamente,31886
mary,31878
análisis,31872
sepa,31866
absoluto,31863
vos,31832
velocidad,31829
conversación,31822
duele,31802
bailar,31771
pasada,31755
seré,31745
tanta,31742
tuviera,31723
usa,31721
verla,31709
iremos,31686
directamente,31621
escúchame,31610
tomado,31609
decidido,31595
clases,31534
llevaba,31531
películas,31530
acceso,31490
teoría,31470
terminó,31465
responsabilidad,31443
barcelona,31428
ciencia,31392
puertas,31344
tí,31308
sentimientos,31306
economía,31295
congreso,31292
comunicación,31281
habéis,31231
preocupa,31224
tuvimos,31220
intenta,31203
políticos,31194
preparado,31168
menudo,31164
vea,31151
hacerle,31082
objeto,31070
calles,31068
estrellas,31030
unión,30989
bill,30988
harry,30970
cierta,30967
fuente,30960
repente,30948
tarjeta,30937
pacientes,30932
confiar,30918
acabado,30872
conocimiento,30815
pistola,30809
mayores,30726
oí,30711
señores,30699
acabar,30678
sirve,30657
suya,30627
solución,30624
abierto,30595
hagan,30570
sonido,30526
vayan,30501
instituto,30499
premio,30487
mentira,30482
clientes,30462
precisamente,30441
tercera,30437
sigo,30412
cielos,30403
salido,30403
probar,30388
nena,30386
viento,30367
darte,30345
vistazo,30338
pedro,30323
ojalá,30318
vacaciones,30308
dejes,30305
sigues,30287
llegue,30271
propiedad,30257
crear,30247
hacerte,30235
molesta,30199
matado,30195
majestad,30175
viejos,30166
hubiese,30164
intención,30143
cambios,30127
bosque,30121
lengua,30120
parque,30116
apartamento,30055
traer,30041
material,30022
ama,29998
alcalde,29992
hayas,29987
elecciones,29986
existen,29901
rosa,29874
llevas,29870
irá,29813
brillante,29812
interesa,29801
verdadera,29800
código,29783
ruido,29783
propios,29776
t,29776
compañeros,29774
violencia,29758
u,29719
cierra,29715
animal,29625
seguramente,29624
recibir,29572
ambiente,29514
curso,29501
ministerio,29495
conjunto,29491
secretario,29489
alegra,29474
vuelvo,29427
you,29420
tantos,29409
francés,29406
tomando,29397
estén,29396
estarás,29377
toca,29332
dientes,29324
aparece,29266
inmediato,29262
espectáculo,29240
esfuerzo,29227
sentía,29134
bob,29128
fuimos,29120
actitud,29115
testigo,29081
papa,29078
tome,29074
miguel,29070
traído,29044
conciencia,29043
laboratorio,29032
perdió,29019
perdona,29015
jimmy,28967
función,28966
escapar,28964
oferta,28955
millón,28951
deberían,28931
contrato,28898
rostro,28874
conocí,28850
irte,28846
productos,28824
alex,28799
pared,28796
estáis,28773
subir,28743
piedra,28735
quedarse,28732
quedarme,28724
etc,28692
bienvenido,28691
kilómetros,28668
árbol,28666
tercer,28661
siguen,28642
perros,28633
obviamente,28625
ia,28591
jim,28554
plaza,28551
cayó,28550
olvidado,28536
haberlo,28511
marca,28496
puedan,28490
detalles,28471
carga,28468
exacto,28456
belleza,28434
policías,28301
dejo,28283
visión,28279
príncipe,28269
n,28252
ambas,28244
trabajadores,28242
tony,28199
tantas,28197
medicina,28195
despierta,28177
sábado,28177
ocasión,28172
protección,28144
administración,28135
fuentes,28130
estaremos,28129
vender,28112
temporada,28090
cuya,28059
aceptar,28058
inocente,28052
lunes,28014
universo,27976
reloj,27890
sentado,27886
juegos,27880
quedado,27862
llamaré,27849
pareces,27822
grado,27792
abierta,27781
pido,27776
sensación,27766
turno,27748
cuyo,27743
existencia,27734
querer,27718
escenario,27683
refiero,27665
escuché,27633
salga,27631
puente,27620
playa,27604
silla,27569
daniel,27533
caballero,27496
restaurante,27483
origen,27479
comienza,27477
quiso,27473
puerto,27460
vuestra,27412
discurso,27407
médicos,27405
búsqueda,27400
periódico,27374
dedos,27369
danny,27363
soldado,27356
víctimas,27341
agentes,27331
empleo,27323
miembro,27319
serás,27313
perdí,27273
usando,27272
clara,27263
posibilidades,27249
recibido,27249
hacerme,27207
imbécil,27178
pantalones,27156
nick,27154
dejaré,27139
tamaño,27137
pago,27068
bromeando,27062
steve,27048
efectos,27041
sexual,26994
llevado,26976
económica,26960
particular,26955
beso,26948
título,26925
gonzález,26920
casado,26909
privado,26901
negra,26872
mando,26845
actividades,26843
iban,26827
fantástico,26819
bajar,26818
práctica,26816
tranquila,26787
tengan,26783
gana,26769
luchar,26762
ayudarme,26752
dama,26743
cien,26723
pérdida,26709
antiguo,26694
autoridades,26651
llevan,26625
gato,26602
exterior,26589
evidencia,26572
elementos,26554
directo,26508
medidas,26500
actuar,26485
cuántas,26446
washington,26427
caminar,26412
recién,26397
quiénes,26391
ridículo,26372
embarazada,26367
declaración,26358
historias,26350
cansado,26343
ésa,26328
partidos,26327
damas,26317
construcción,26301
dura,26297
habías,26295
comienzo,26262
corriendo,26250
sentí,26249
déjalo,26238
héroe,26233
jardín,26233
muere,26231
sarah,26229
nervioso,26211
desea,26195
conseguido,26179
preocupado,26162
autor,26155
richard,26149
pintura,26145
p,26135
inglaterra,26105
república,26092
asiento,26070
cuadro,26067
extraña,26055
come,26022
china,26017
últimas,26017
llorar,25999
garcía,25990
perfectamente,25965
tarea,25959
manuel,25951
dispuesto,25949
conocía,25939
preguntar,25926
gay,25925
paseo,25904
imágenes,25892
realizar,25891
taxi,25882
habló,25870
robert,25868
humor,25814
estudiantes,25783
llaves,25781
debió,25775
hayan,25760
malas,25760
saliendo,25736
roma,25729
entró,25715
carretera,25705
fuese,25704
amenaza,25703
trampa,25703
huevos,25696
camión,25695
leyes,25670
suficientemente,25658
preguntó,25646
oficiales,25644
vuestro,25637
veinte,25615
fbi,25605
prefiero,25599
oscuro,25592
encontraron,25544
trabajos,25537
volverá,25537
veía,25534
resolver,25497
herido,25488
llegamos,25471
palacio,25469
hielo,25466
jane,25458
emergencia,25438
estupendo,25424
llamadas,25415
venta,25398
máximo,25365
tiro,25365
gustaba,25359
vía,25308
descanso,25293
ocurrido,25293
botella,25273
tecnología,25232
entrevista,25224
johnny,25193
trago,25192
ángel,25187
internet,25084
explicar,25080
pequeñas,25078
producto,25077
um,25063
mayo,25046
expresión,25018
cantar,25010
marco,24999
texto,24999
nariz,24976
averiguar,24936
sujeto,24931
volar,24884
ritmo,24878
condición,24875
esperen,24871
anillo,24860
caballos,24857
bienvenida,24856
felices,24847
pocas,24794
perfecta,24792
barrio,24790
encuentran,24790
cruz,24784
daba,24749
pecho,24692
pasará,24676
cuesta,24662
estarán,24610
región,24594
revolución,24541
desastre,24531
oiga,24514
tommy,24495
firma,24466
planta,24456
familias,24438
dejas,24436
cuerpos,24367
solos,24359
cerrar,24336
echar,24315
cabello,24306
original,24304
pierna,24296
roja,24280
vendrá,24275
coger,24238
termina,24237
vergüenza,24228
alcohol,24226
estructura,24226
materia,24216
ayúdame,24205
estuviste,24188
ray,24185
claramente,24184
principios,24180
polvo,24156
nación,24153
altura,24145
hiciera,24124
oeste,24124
continuar,24116
yendo,24104
intereses,24097
billy,24080
felicidad,24073
vecinos,24072
valores,24031
formación,24027
locos,24026
convertido,24003
cuento,24003
llame,23980
alemania,23939
equipos,23930
aparte,23908
españoles,23896
papeles,23896
huellas,23894
mismas,23877
crédito,23857
dueño,23854
plata,23849
hacerse,23846
refieres,23842
pensó,23840
oscuridad,23834
tratado,23834
robo,23822
elegir,23821
encantaría,23812
encantado,23808
seguros,23802
cuchillo,23799
nosotras,23783
junta,23778
comenzar,23769
roto,23767
coño,23744
presenta,23743
verá,23719
artista,23702
jurado,23702
salón,23681
militares,23679
viviendo,23671
temas,23662
olvidar,23659
colega,23645
industria,23634
recuerdos,23633
ibas,23630
quede,23612
mark,23610
sospechoso,23604
cálmate,23598
llevaré,23584
pasos,23583
primeras,23577
plazo,23571
gas,23553
bebe,23548
secretos,23541
vayamos,23518
sube,23517
desaparecido,23510
técnica,23506
vengan,23499
envió,23486
arreglar,23469
hagamos,23462
tuvieron,23456
principales,23446
fuertes,23441
cumplir,23440
antigua,23439
mantiene,23426
terreno,23409
inspector,23392
corriente,23382
propias,23382
clave,23370
pide,23360
vengo,23346
dará,23343
habido,23309
revista,23283
lograr,23246
romper,23212
compromiso,23211
corto,23187
dé,23172
pareció,23170
gloria,23166
comité,23161
pedí,23157
